,,,,,Location,,,,,,,,,,,,,,,,cancer data,scArches mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level_1,Level_2,Level_3,Level_4,Level_5,Nasal,Bronchial,Parenchyma,Banovich_Kropski_2020,Barbry_Leroy_2020,Jain_Misharin_2021,Krasnow_2020,Meyer_2019,Lafyatis_Rojas_2019,Meyer_2021,Meyer_Nikolic_2021,Misharin_2021,Misharin_Budinger_2018,Nawijn_2021,Seibold_2020,Teichmann_Meyer_2019,Thienpont_2018,Kaminski_2020,Schiller2021,Banovich_Kropski_2020_disease,Regev2021,Misharin_Budinger_2018_disease,Eils_2020,Zhang2021,Sims2019,Sheppard_2020,Lafyatis2019,Shalek2018,PeerMassague2020,Budinger2021,Janssen2020,Wunderink2021,Xu2020,Gomperts2021,Lambrechts2021,BarbryX,Duong_lungMAP_unpubl,Sun_2020,,Suggested annotation depth for probesets,,Expected spatial location,,cell ontology curie,cell ontology label,organ ontology curie,organ ontology label
|,|,Rare,>,,,,,PNEC/Ionocyte,Rare cells,,,,,Ionocyte_n_Brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Ionocyte,,,,,,,Ionocytes,Ionocyte,,,,,SC88_C19_Ionocytes,,Ionocytes,Ionocyte,,,Ionocyte,,,,,,,,,,,,,,,,,,,,,,,,,,CL:0017000,pulmonary ionocyte,,
|,|,|,Tuft,,,,,,,,,,,,,,,,Tuft-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL:0002075,brush cell of trachebronchial tree,,
|,|,|,Neuroendocrine,,,,,,,,Neuroendocrine,,,Neuroendocrine,,SC88_C21_Neuroendocrine,,,PNEC,,,PNEC,,,,,,,,,,,,,,,,,,,Neuroendocrine,pulmonary neuroendocrine cells,,,,,,,,,
|,|,Squamous,,,,,,,,"Squamous, SPRR3",,,,,,,,Secretory - Basal to secretory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,KRT5- KRT17+ epithelial,,,,,,KRT5-/KRT17+,,,,,,,,,,,,,,Aberrant_Basaloid,,KRT5-/KRT17+,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,BASCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronchoalveolar stem cell,,,,,,,,,,
|,Submucosal Gland,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBERON:0011148,submucosal gland
|,|,Submucosal Secretory,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL:1000272,lung secretory cell,,
|,|,|,SMG serous,>,,,,,Serous,,Serous,,,SMG_Serous,,SC88_C18_SMG_Serous,,SMG -Serous cells,,,,,,,,,,,,,,,,,,,,,,,Serous,,,,,,,,,,
|,|,|,|,SMG serous (nasal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,|,SMG serous (bronchial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,SMG mucous,,,,,,SMG Goblet,,Mucous,,,SMG_Mucous,,SC88_C11_SMG_Mucous,,SMG - Mucous cells,SMG.secretory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,SMG mucous,,,,,,Mucous,,,,,,,SC85_C20_SMG_Mucous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,SMG MUC5Blow DEFB1,,,,,,,,,,,,,SC88_C16_SMG_MUC5Blow_DEFB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,SMG basal A,,,,,,,,,,,,,,,,SMG.basal.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,SMG basal B,,,,,,,,,,,,,,,,SMG.basal.B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,SMG myoepithelial,,,,,,,,,,,,,,,,SMG.myoepithelial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
